Phase,Medium,CCT,Xw,Yw,Zw,La,Pb,Xb,Yb,Zb,Ambient
1,LCD,5935,32.51,43.88,25.72,12.06,24.52%,8.64,10.76,7.66,dark
2,LCD,6265,93.68,122.90,84.06,31.26,21.81%,21.94,26.81,20.98,dark
3,LCD,6265,376.08,493.60,348.19,30.07,0.34%,1.22,1.68,1.23,dark
4,LCD,6265,396.71,521.00,371.57,144.29,23.82%,103.97,126.90,104.31,dark
5,LCD,6197,419.38,562.60,373.03,466.17,87.11%,366.89,490.10,326.54,dark
6,LCD,6197,800.51,1067.00,714.78,70.00,0.32%,2.43,3.37,2.46,dark
7,LCD,6197,800.22,1051.00,736.81,269.90,22.06%,189.58,231.80,183.53,dark
8,LCD,6390,1712.46,2176.00,1689.59,136.44,0.22%,3.59,4.76,4.12,dark
9,LCD,6392,1721.81,2189.00,1697.69,367.61,12.16%,229.77,266.20,234.15,dark
10,LCD,6391,1726.31,2196.00,1702.69,576.71,22.90%,422.04,502.90,427.31,dark
11,LCD,6387,1732.94,2205.00,1708.66,1204.03,55.06%,1012.64,1214.00,1010.70,dark
12,LCD,6388,1758.09,2241.00,1729.44,2009.94,94.87%,1667.67,2126.00,1636.72,dark
13,LCD,7941,995.40,1274.00,1293.24,312.49,21.16%,228.16,269.55,314.68,dark
14,LCD,1803,1063.72,1233.00,356.61,284.36,19.17%,217.84,236.35,73.20,dark
15,LCD,6391,1730.32,2201.40,1705.62,604.76,22.90%,432.93,533.92,429.98,average
16,Trans.,5823,6890.34,8519.00,5936.19,941.70,5.61%,408.02,477.60,256.97,dark
17,Trans.,5823,6849.58,8458.00,5911.69,2120.66,21.41%,1499.62,1811.00,1062.72,dark
18,Trans.,5921,13676.05,16860.00,12201.60,1860.80,5.49%,791.12,926.00,523.38,dark
19,Trans.,5937,13295.61,16400.00,11918.19,4183.52,21.81%,2963.80,3577.00,2194.24,dark
